Symbol,Shares,PricePerShare,Sector
GNL,230339008.0,9.95,real-estate
FPI,48185900.0,12.48,real-estate
KORE,82380400.0,0.9802,communication-services
SOI,30581300.0,7.96,energy
CARV,4918350.0,1.97,financial-services
OHI,244994000.0,30.66,real-estate
NXTC,27903000.0,1.14,healthcare
KXIN,26640000.0,0.88,consumer-cyclical
BCRX,204808992.0,5.99,healthcare
SPR,116026000.0,31.78,industrials
SE,568758976.0,40.5,consumer-cyclical
IOR,4168410.0,13.4,financial-services
X,223135008.0,48.65,basic-materials
GDTC,11529300.0,4.9,healthcare
TMTC,8140000.0,10.6,financial-services
GRRR,68923104.0,0.5394,technology
PDEX,3547330.0,17.52,healthcare
IP,346016992.0,36.15,consumer-cyclical
ECPG,23528600.0,50.75,financial-services
IQV,182500000.0,231.38,healthcare
PFX,2072590.0,42.2473,financial-services
MTAL,50236500.0,12.36,basic-materials
OC,88875000.0,148.23,industrials
MGIC,49093100.0,9.69,technology
BITE,8518180.0,10.59,financial-services
ATSG,65272900.0,17.61,industrials
LADR,126912000.0,11.51,real-estate
NDRA,8454920.0,2.12,healthcare
NVEE,15895900.0,111.12,industrials
DCPH,80123104.0,16.13,healthcare
RSSS,32619600.0,2.6,technology
TMP,14222100.0,60.23,financial-services
IMMR,31840000.0,7.06,technology
DYN,61375600.0,13.3,healthcare
SCLX,95874400.0,2.04,healthcare
RLX,1570790016.0,2.0,consumer-defensive
PRST,67220000.0,0.5315,technology
DMK,10094600.0,0.7003,healthcare
SBFM,25678300.0,0.2715,healthcare
CDRO,45297900.0,2.94,consumer-cyclical
ROSS,5041100.0,10.89,financial-services
TXT,196004992.0,80.42,industrials
TFFP,2365340.0,7.02,healthcare
BDSX,90476304.0,1.84,healthcare
IMO,535836992.0,57.19,energy
TWKS,318425984.0,4.81,technology
RDHL,19674600.0,1.46,healthcare
NETD,30500000.0,10.4,financial-services
RIV,21453200.0,10.99,financial-services
SKM,388198016.0,21.4,communication-services
BURL,64525300.0,194.48,consumer-cyclical
LVLU,40473600.0,1.86,consumer-cyclical
